id;nombre;calle;existencia
1;UTN FRVT;Laprida 651 ;Si
2;FAGDUT VT;Laprida 648 ;Si
3;ATEVEN;Laprida 652 ;Si
4;UTN // UCES;Castelli 501 ;Si
