id;nombre;exsistencia
1;Planta Baja;Si
2;1er. Piso;Si
3;2do. Piso;Si
4;3er. Piso;Si
5;4to. Piso;Si
6;5to. Piso;Si
7;Nivel 0;Si
8;Nivel Bajo 0;Si
9;Techo;Si
10;Entrepiso;Si
